x1,x2,p1,p2
1.533387,1.538487,18.872871,23.99948
0.468871,0.44218343,1.6614648,41.30482
0.17641276,0.117448926,0.17966285,47.1063
2.3396528,2.3854728,44.65782,13.9132
2.7732375,2.7395473,60.78386,10.068118
0.33433497,0.35611957,0.95440406,43.334053
0.64255,0.6834805,3.5200644,37.619713
0.43287933,0.3942445,1.371253,42.07157
1.6066641,1.6224843,20.855299,22.92234
1.1099946,1.1107378,9.863306,30.258503
2.818606,2.8035667,63.2181,9.5828
0.3102389,0.25609213,0.6473254,44.49852
2.144369,2.1723368,37.269463,16.150307
1.7433691,1.7069274,23.811749,21.449974
2.3018405,2.3412676,43.120018,14.348923
0.44471353,0.40107,1.434509,41.90079
2.5840476,2.5467136,52.652206,11.85544
1.2369659,1.2801278,12.675247,27.997875
0.18322021,0.13969463,0.21233694,46.823936
1.6849637,1.6630917,22.419907,22.124424
0.0344494,0.028677106,0.00803655,49.370743
2.1963744,2.1352704,37.53376,16.066992
1.5558841,1.5552167,19.357897,23.728466
1.4006704,1.362287,15.270815,26.18813
0.40567666,0.3965714,1.2873697,42.299362
2.1036654,2.096038,35.275135,16.82175
2.425397,2.4322221,47.193016,13.222064
1.4338257,1.450973,16.644716,25.31319
0.24935007,0.23972547,0.47857505,45.228886
2.4480014,2.4636352,48.248837,12.945843
2.6415071,2.7021163,57.115967,10.842758
1.3784513,1.428446,15.762345,25.871613
0.5039415,0.4912793,1.9812495,40.543106
1.036149,1.0722395,8.893209,31.139418
2.014989,1.9897885,32.077755,17.971664
1.3909175,1.3802176,15.358608,26.128302
2.9665632,2.942092,69.82561,8.36985
0.535917,0.5468638,2.345068,39.75846
0.45679122,0.46939087,1.715944,41.167164
1.9275615,1.8924655,29.187675,19.09665
0.7618317,0.7521756,4.584623,36.00608
1.4742467,1.4903471,17.578152,24.7486
0.66045105,0.68624604,3.6285167,37.440163
2.1890829,2.1569521,37.778107,15.984177
2.5470078,2.475482,50.46104,12.390362
1.2741544,1.2780665,13.027694,27.734715
0.72400093,0.75119877,4.3539076,36.33648
1.3706055,1.4314573,15.710517,25.907001
2.195145,2.20337,38.694004,15.688351
0.60061246,0.6290522,3.025768,38.459793
0.28245538,0.2555952,0.5804398,44.764603
1.6977638,1.7372936,23.602364,21.550014
1.1765037,1.1977928,11.275474,29.075905
0.9822029,0.96384,7.5748405,32.43328
0.73153526,0.70693463,4.1396017,36.6502
1.048883,1.0603133,8.897679,31.132458
2.295826,2.262614,41.560955,14.80584
1.6095269,1.7208652,22.207815,22.248032
2.775391,2.711791,60.226425,10.184786
2.7746012,2.8193026,62.587517,9.707841
2.3608422,2.3361928,44.125492,14.061022
1.1821041,1.199774,11.347311,29.018047
2.3394246,2.361957,44.206993,14.037931
2.6349645,2.5619235,54.02596,11.53761
2.8596916,2.886913,66.048416,9.046057
1.8467369,1.8780627,27.750227,19.68956
0.9325123,0.93108183,6.94597,33.10055
2.8434458,2.8631134,65.13041,9.2170105
0.1231274,0.16604644,0.1709271,47.150993
1.2966969,1.2094277,12.576553,28.082891
2.6169639,2.658367,55.66166,11.1621065
1.5629718,1.5815402,19.776602,23.499031
2.7508702,2.8076913,61.80167,9.864801
1.6118226,1.6586838,21.396816,22.64414
0.87335885,0.8982414,6.2783732,33.853592
0.82157135,0.82275546,5.4076242,34.908638
1.1777518,1.1935823,11.246952,29.098396
1.8911654,1.934026,29.267853,19.065048
0.8309105,0.85481787,5.6845036,34.563843
2.1180978,2.1653323,36.70001,16.340702
0.11003345,0.1035651,0.09133236,47.886845
1.572362,1.5947642,20.06238,23.344334
2.5807996,2.6351688,54.418564,11.444958
1.5938888,1.656386,21.136383,22.78135
2.5762868,2.5578842,52.7201,11.838316
2.3644032,2.355363,44.552547,13.940475
1.8361378,1.7800673,26.160168,20.37799
1.1525414,1.1657286,10.749099,29.504574
0.34481585,0.31949866,0.88390946,43.577835
2.6046638,2.6105661,54.397316,11.447029
2.0630953,2.04943,33.826103,17.331272
0.9111598,0.88643646,6.4639273,33.64002
2.4510143,2.4750252,48.532883,12.872826
2.2967312,2.3199377,42.62834,14.4903965
0.74294835,0.7429821,4.4159784,36.24469
1.7740643,1.8176261,25.804276,20.534164
1.9785402,1.9415419,30.736824,18.483385
1.8877254,1.9174943,28.961166,19.188095
2.6739225,2.6901639,57.54737,10.745979
0.7831541,0.840438,5.2786655,35.083748
2.737441,2.7751665,60.780533,10.069057
1.6448042,1.682329,22.142448,22.264278
2.0040684,2.0069864,32.17714,17.933737
1.2331909,1.2771511,12.607499,28.048454
0.8054885,0.8252297,5.3192635,35.022633
1.3564235,1.3085457,14.208706,26.902487
2.3609276,2.3665955,44.699013,13.899523
0.2898413,0.30159098,0.6998604,44.260643
1.1107633,1.1658137,10.371667,29.827147
2.2327719,2.2642457,40.448315,15.141903
1.8126609,1.8097005,26.243023,20.337141
1.810045,1.878327,27.217503,19.920654
2.9274442,2.9074347,68.09242,8.674316
2.5189605,2.5785935,51.977226,12.018766
1.3157022,1.3274342,13.972615,27.06179
1.296919,1.3744776,14.28475,26.857222
2.771466,2.7610774,61.218292,9.979138
0.13288826,0.112767935,0.12150359,47.57381
1.2331128,1.2798967,12.634811,28.028606
0.20060033,0.21404117,0.34421647,45.93964
1.7552131,1.7662091,24.801071,20.986044
1.9602948,1.8989537,29.795124,18.856297
0.23404837,0.19816375,0.37619004,45.771923
2.712177,2.664316,57.817932,10.689554
2.1604614,2.1902466,37.859093,15.957694
0.18223882,0.14322102,0.21489298,46.799126
0.3670928,0.38772297,1.1403449,42.73693
1.559042,1.5263718,19.04169,23.906284
0.45247614,0.45993,1.665081,41.29221
1.8468657,1.8095666,26.741776,20.121122
2.296255,2.3103786,42.442547,14.5443
1.0486195,1.1015806,9.252331,30.81108
0.20729542,0.19752699,0.32795322,46.033764
0.38234144,0.3828637,1.1710784,42.64072
1.2197444,1.1802194,11.522778,28.881056
2.1747446,2.1909888,38.11978,15.872612
2.8919358,2.864743,66.28018,9.003257
0.015862584,0.003436625,0.0010537278,49.807274
2.0470629,2.0435452,33.466175,17.460463
1.0228413,1.0745292,8.803269,31.227112
1.3540521,1.3551568,14.679627,26.577818
2.824378,2.840127,64.17373,9.398382
1.3005793,1.2731459,13.249628,27.575155
1.2821708,1.2552398,12.878356,27.845482
2.3917172,2.362044,45.198254,13.7619505
2.5421526,2.569805,52.265747,11.946861
2.3642912,2.4031324,45.45967,13.690681
1.9986725,2.0330224,32.511486,17.810923
2.6036098,2.6231148,54.63806,11.392269
1.6659874,1.7046282,22.725086,21.975115
1.280848,1.2463927,12.776266,27.921658
1.7699683,1.7598915,24.920023,20.931408
1.9576969,1.9780333,30.980772,18.38789
1.7762452,1.8413255,26.182106,20.36982
0.8722463,0.8526315,5.9511766,34.239014
2.1922061,2.215933,38.86451,15.634735
1.0294745,1.0465212,8.620098,31.395067
1.5263474,1.5717232,19.200201,23.819344
1.4666682,1.517211,17.81218,24.614254
1.3653255,1.3487048,14.732473,26.542816
1.8385148,1.7703061,26.05648,20.42591
1.3891584,1.4103191,15.675043,25.923988
1.0024166,0.99111736,7.948611,32.05181
0.557704,0.54905015,2.4499593,39.544945
2.3194547,2.272974,42.185123,14.621994
2.0215392,1.9617527,31.740377,18.102175
2.4296281,2.446085,47.5457,13.129293
0.8079913,0.83658457,5.410895,34.906963
2.1807194,2.2323935,38.95647,15.607988
2.2447011,2.186171,39.27211,15.509306
2.2712436,2.268358,41.21598,14.90798
1.2481362,1.2236621,12.220772,28.337212
2.3203926,2.272615,42.196003,14.618925
2.5033329,2.4787679,49.64386,12.589958
1.5483952,1.6276199,20.186695,23.286526
0.59943825,0.5355708,2.584649,39.296074
1.8380421,1.8793862,27.641964,19.736206
1.3864374,1.3707585,15.20475,26.229229
2.6050403,2.6194634,54.591293,11.402786
2.1830792,2.2128334,38.649864,15.703341
1.9186494,1.8528321,28.45681,19.399387
2.932441,2.8980818,67.992355,8.692861
0.90534,0.9241063,6.694452,33.37915
2.7006483,2.7083719,58.515118,10.538578
2.8416557,2.8440773,64.655136,9.306453
2.4956303,2.4880118,49.673492,12.581952
1.6451643,1.5895046,20.932362,22.886402
1.831645,1.8000408,26.380283,20.278214
2.94641,2.918704,68.80066,8.549025
2.8838112,2.8212411,65.10307,9.2252445
2.2703376,2.224794,40.416565,15.152826
0.37269264,0.39260763,1.1721623,42.640038
2.2602344,2.301679,41.62554,14.787252
1.6896954,1.6730808,22.617079,22.026508
2.2401886,2.258665,40.48005,15.131475
2.0709374,2.1628242,35.86636,16.628975
0.15123665,0.20145196,0.25382167,46.536575
1.0954571,1.0742459,9.416122,30.657001
1.4251268,1.4491787,16.524422,25.38805
0.35012305,0.33760536,0.94625413,43.35928
0.28017193,0.22295934,0.5128287,45.096893
0.2400577,0.18447268,0.3666315,45.84635
2.1663551,2.140937,37.106827,16.203785
2.8632727,2.9169726,66.82823,8.904607
2.2706378,2.2904253,41.607376,14.791213
2.34789,2.3308387,43.781586,14.15811
1.0713313,1.0887933,9.332886,30.731976
0.7347813,0.7537254,4.432022,36.22294
2.945244,2.988604,70.424866,8.2677355
0.94388753,0.8859417,6.703265,33.377525
1.0069549,1.0435736,8.412016,31.59772
2.531564,2.5462103,51.568012,12.11426
2.0237527,2.0193608,32.693573,17.74226
2.7933674,2.8161845,62.93519,9.638277
0.70708305,0.7169042,4.0556726,36.774044
2.3601577,2.360166,44.562912,13.93749
2.1804805,2.1598167,37.677216,16.01633
2.2257304,2.2248325,39.61502,15.398127
0.6504211,0.7263413,3.802477,37.182995
0.46064645,0.49066043,1.8117713,40.93987
1.1500945,1.1481261,10.563644,29.658705
0.73039055,0.74425685,4.349554,36.34091
0.0763762,0.14414907,0.106449105,47.821365
1.9694333,1.9282774,30.387684,18.619814
2.9753346,2.8966248,68.972206,8.523457
2.5238512,2.495847,50.39631,12.402096
2.2184715,2.1715968,38.549797,15.736766
2.0735633,2.0435085,33.902367,17.304874
1.8625959,1.922946,28.667938,19.311565
1.3303494,1.3133602,13.978979,27.057648
2.2323196,2.2166429,39.587025,15.407131
1.262176,1.2941129,13.071266,27.704926
2.6983716,2.741652,59.19146,10.397629
1.7154022,1.6927791,23.232422,21.726294
2.0998383,2.0488083,34.427746,17.12047
1.2492497,1.2661133,12.654671,28.010036
2.0003042,2.0085466,32.141907,17.946968
3.490942,3.0,84.746704,6.277256
1.8242924,1.7547731,25.629086,20.616615
2.108773,2.0971124,35.37922,16.78595
2.3635755,2.3138568,43.76169,14.1661
1.926222,1.9180353,29.55676,18.946619
2.5423672,2.5652099,52.17573,11.968163
