x1,x2,x3,x4,x5,x6,p1,p2
5.0,0.99999994,5.0,9.033829e-08,1.1723702,0.65978026,-258.02972,52.80976
4.0333285,0.67777616,1.0,0.0,1.0,0.0,-121.108894,18.72712
3.9603949,0.653465,1.0,7.834751e-08,1.0,0.0,-113.89185,18.111744
5.0,0.99999994,4.501907,0.0,1.0,0.014628142,-254.26335,47.26738
5.0,0.99999994,5.0,0.0,1.1546879,0.6044511,-258.02393,52.698666
3.9601922,0.65339744,1.0,9.321957e-08,1.0,0.0,-113.87218,18.11005
4.0594883,0.6864961,1.0,1.8655555e-08,1.0,0.0,-123.7626,18.950722
5.0,0.99999994,5.0,4.4714398e-08,1.180035,0.70344466,-258.0324,52.887318
5.0,0.99999994,4.2023377,0.0,1.0,0.0,-252.25497,44.659645
5.0,0.99999994,5.0,0.0,1.0,0.0,-258.0,52.0
5.0,0.99999994,5.0,0.0,1.1396513,0.54200524,-258.0195,52.592575
3.9722393,0.6574131,1.0,6.2864274e-08,1.0,0.0,-115.04573,18.210876
4.0539274,0.68464243,1.0,0.0,1.0,0.0,-123.19561,18.903063
4.0685506,0.6895169,1.0,2.4258043e-08,1.0,0.0,-124.68991,19.028538
4.0460153,0.68200505,1.0,0.0,1.0,0.013708862,-122.39157,18.83556
4.0774794,0.69249314,1.0,0.0,1.0,0.0,-125.60758,19.105385
5.0,0.99999994,4.4070377,0.0,1.0,0.017411366,-253.60791,46.422283
4.162197,0.72073233,1.0,0.0,1.0,0.0,-134.51393,19.84334
5.0,0.99999994,4.1105003,0.0,1.0,0.0,-251.67522,43.896214
4.010332,0.67011076,1.0,1.08149834e-07,1.0,0.0,-118.80449,18.531813
5.0,0.99999994,5.0,8.941788e-08,1.2180731,0.8289977,-258.04755,53.17094
4.0617013,0.6872338,1.0,4.379399e-08,1.0,0.0,-123.98866,18.969707
5.0,0.99999994,5.0,0.0,1.1653303,0.63530993,-258.02734,52.761612
4.0294466,0.6764822,1.0,1.1175871e-07,1.0,0.0,-120.71803,18.694069
5.0,0.99999994,5.0,0.0,1.1267539,0.50432825,-258.01605,52.523922
5.0,0.99999994,5.0,0.0,1.1735119,0.6645091,-258.0301,52.818703
5.0,0.99999994,4.392787,0.0,1.0,0.0,-253.511,46.296577
4.107723,0.7025744,1.0,1.04366336e-07,1.0,0.0,-128.74574,19.367
3.9401371,0.64671236,1.0,0.0,1.0,0.0,-111.9347,17.942917
4.9999995,0.99999994,4.4125085,0.0,1.0,0.0,-253.64514,46.47023
5.0,0.99999994,4.2644525,0.0,1.0,8.381903e-09,-252.65665,45.185555
5.0,0.99999994,4.7176223,0.0,1.0,0.056545038,-255.82071,49.259155
3.9524992,0.6508331,1.0,8.384086e-08,1.0,0.0,-113.12658,18.045834
4.0475907,0.6825303,1.0,0.0,1.0,1.4901161e-08,-122.55142,18.848837
4.076326,0.69210863,1.0,0.0,1.0,0.0,-125.48881,19.095446
5.0,0.99999994,5.0,0.0,1.1168176,0.4567269,-258.01364,52.45588
4.9999995,0.99999994,4.4526196,0.0,1.0,0.0,-253.9205,46.825817
3.9492595,0.64975315,1.0,9.688665e-08,1.0,0.0,-112.813484,18.01883
4.283766,0.76125526,1.0,8.9465175e-08,1.0,0.04699938,-147.92413,20.932367
4.3837004,0.7945668,1.0,0.0,1.0,2.9802322e-08,-159.50375,21.848166
4.217204,0.73906803,1.0,0.0,1.0,0.0,-140.4898,20.331032
4.9999995,0.99999994,4.7855763,0.0,1.0,0.01988738,-256.3305,49.902134
3.9405816,0.64686054,1.0,8.731149e-11,1.0,0.0,-111.9774,17.946611
3.9474409,0.649147,1.0,0.0,1.0,7.450581e-09,-112.637955,18.003681
5.0,0.99999994,4.4055767,0.0,1.0,3.3140182e-05,-253.59796,46.409103
5.0,0.99999994,4.3770056,0.0,1.0,0.0,-253.40417,46.15818
4.1711955,0.7237318,1.0,0.0,1.0,0.0,-135.48111,19.92266
4.0139017,0.67130053,1.0,8.945062e-08,1.0,7.450581e-09,-119.16044,18.56205
4.185027,0.7283424,1.0,0.0,1.0,0.0,-136.97571,20.044935
5.0,0.99999994,4.0649443,0.0,1.0,0.26656717,-251.39389,43.59483
4.0437694,0.6812565,1.0,3.0733645e-08,1.0,0.0,-122.16392,18.816181
5.0,0.99999994,4.350279,0.0,1.0,0.10561158,-253.22437,45.93608
3.943083,0.64769435,1.0,4.1909516e-08,1.0,0.0,-112.21803,17.967411
5.0,0.99999994,4.4696717,0.0,1.0,7.450581e-09,-254.03862,46.977966
4.0693994,0.6897998,1.0,4.474714e-08,1.0,0.0,-124.77696,19.035835
4.064128,0.6880427,1.0,1.0244548e-07,1.0,0.033634275,-124.236824,18.991669
4.9999995,0.99999994,5.0,2.050001e-08,1.1885412,0.7249282,-258.03546,52.93815
4.012315,0.6707716,1.0,3.7252903e-08,1.0,2.2351742e-08,-119.00211,18.548605
5.0,0.99999994,4.5641026,0.0,1.0,0.03899292,-254.70282,47.832554
3.9467523,0.64891744,1.0,9.688665e-08,1.0,0.0,-112.57153,17.997948
4.0917473,0.69724905,1.0,4.4732587e-08,1.0,0.0,-127.08233,19.228552
3.9382646,0.6460882,1.0,0.0,1.0,1.1175871e-08,-111.75482,17.927357
5.0,0.99999994,5.0,1.0430995e-07,1.1584014,0.60885674,-258.0251,52.712597
4.2141495,0.7380498,1.0,1.4922989e-08,1.0,2.156198e-05,-140.15396,20.303774
4.083562,0.6945206,1.0,0.0,1.0,1.4290214e-05,-126.23504,19.157837
4.2291765,0.7430588,1.0,1.1455268e-07,1.0,0.0,-141.8106,20.43807
3.990411,0.6634703,1.0,3.259629e-08,1.0,0.0,-116.82971,18.363573
4.0250854,0.6750285,1.0,0.0,1.0,0.0,-120.27982,18.656977
4.0068517,0.66956323,1.0,0.0,1.0,0.0,-118.45639,18.503176
4.1356573,0.71188575,1.0,9.313226e-08,1.0,0.0,-131.68504,19.610441
4.218088,0.7393627,1.0,0.0,1.0,0.0,-140.58708,20.338924
